model_tier,model_id,source_folder,threshold,rows,accuracy,macro_f1,spam_precision,spam_recall,safe_precision,safe_recall,false_positive_rate,false_negative_rate,true_safe,true_spam,false_positives,false_negatives,pred_safe,pred_spam,parse_ok_rate,min_macro_f1_bar,min_spam_recall_bar,max_false_positive_rate_bar,clears_zero_shot_bar
E2B,google/gemma-4-E2B-it,all,0.36,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.37,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.38,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.39,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.40,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.41,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.42,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.43,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.44,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.45,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.46,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.47,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.48,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.49,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.50,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.51,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.52,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.53,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.54,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.55,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.56,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.57,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.58,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.59,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.60,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.61,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.62,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.63,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.64,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.65,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.66,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.67,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.68,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.69,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.70,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.71,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.72,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.73,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.74,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.75,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.76,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.77,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.78,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.79,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.80,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.81,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.82,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.83,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.84,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.85,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.86,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.87,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.88,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.89,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.90,400,0.66,0.644314258814,0.612676056338,0.87,0.775862068966,0.45,0.55,0.13,200,200,110,26,116,284,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.91,400,0.6,0.565972222222,0.727272727273,0.32,0.564102564103,0.88,0.12,0.68,200,200,24,136,312,88,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.92,400,0.6,0.565972222222,0.727272727273,0.32,0.564102564103,0.88,0.12,0.68,200,200,24,136,312,88,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.93,400,0.6,0.565972222222,0.727272727273,0.32,0.564102564103,0.88,0.12,0.68,200,200,24,136,312,88,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.94,400,0.6,0.565972222222,0.727272727273,0.32,0.564102564103,0.88,0.12,0.68,200,200,24,136,312,88,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.95,400,0.6,0.565972222222,0.727272727273,0.32,0.564102564103,0.88,0.12,0.68,200,200,24,136,312,88,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.96,400,0.51,0.355178312936,1,0.02,0.505050505051,1,0,0.98,200,200,0,196,396,4,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.97,400,0.51,0.355178312936,1,0.02,0.505050505051,1,0,0.98,200,200,0,196,396,4,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.98,400,0.51,0.355178312936,1,0.02,0.505050505051,1,0,0.98,200,200,0,196,396,4,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,0.99,400,0.51,0.355178312936,1,0.02,0.505050505051,1,0,0.98,200,200,0,196,396,4,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,all,1.00,400,0.51,0.355178312936,1,0.02,0.505050505051,1,0,0.98,200,200,0,196,396,4,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.00,200,0,0,0,0,0,0,1,0,200,0,200,0,0,200,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.01,200,0.05,0.047619047619,0,0,1,0.05,0.95,0,200,0,190,0,10,190,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.02,200,0.055,0.0521327014218,0,0,1,0.055,0.945,0,200,0,189,0,11,189,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.03,200,0.055,0.0521327014218,0,0,1,0.055,0.945,0,200,0,189,0,11,189,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.04,200,0.055,0.0521327014218,0,0,1,0.055,0.945,0,200,0,189,0,11,189,1,0.8,0.85,0.05,False
