model_tier,tau_low,tau_high,cost,policy_cost,policy_ok,false_negative,hard_false_positive,soft_false_positive,scam_missed_safe,scam_escalated_suspicious,scam_caught_scam,safe_passed_safe,safe_escalated_suspicious,safe_flagged_scam,scam_miss_rate,scam_capture_rate,hard_false_positive_rate,soft_false_positive_rate,suspicious_rate,decisive_rate,n
E4B,0.45,0.75,63.60000000000001,64.00000000000001,False,11,202,122,11,8,236,676,122,202,0.043137254901960784,0.9568627450980393,0.202,0.122,0.10358565737051793,0.896414342629482,1255
E4B,0.45,0.8,63.60000000000001,64.00000000000001,False,11,202,122,11,8,236,676,122,202,0.043137254901960784,0.9568627450980393,0.202,0.122,0.10358565737051793,0.896414342629482,1255
E4B,0.5,0.75,64.10000000000001,64.4,False,13,202,107,13,6,236,691,107,202,0.050980392156862744,0.9490196078431372,0.202,0.107,0.0900398406374502,0.9099601593625498,1255
E4B,0.5,0.8,64.10000000000001,64.4,False,13,202,107,13,6,236,691,107,202,0.050980392156862744,0.9490196078431372,0.202,0.107,0.0900398406374502,0.9099601593625498,1255
E4B,0.4,0.9,64.4,65.15,False,11,176,182,11,15,229,642,182,176,0.043137254901960784,0.9568627450980393,0.176,0.182,0.15697211155378485,0.8430278884462151,1255
E4B,0.35,0.9,64.80000000000001,65.55000000000001,False,11,176,186,11,15,229,638,186,176,0.043137254901960784,0.9568627450980393,0.176,0.186,0.1601593625498008,0.8398406374501992,1255
E4B,0.4,0.85,64.9,65.65,False,11,181,177,11,15,229,642,177,181,0.043137254901960784,0.9568627450980393,0.181,0.177,0.15298804780876493,0.847011952191235,1255
E4B,0.35,0.85,65.30000000000001,66.05000000000001,False,11,181,181,11,15,229,638,181,181,0.043137254901960784,0.9568627450980393,0.181,0.181,0.15617529880478087,0.8438247011952191,1255
E4B,0.4,0.75,67.0,67.4,False,11,202,156,11,8,236,642,156,202,0.043137254901960784,0.9568627450980393,0.202,0.156,0.1306772908366534,0.8693227091633466,1255
E4B,0.4,0.8,67.0,67.4,False,11,202,156,11,8,236,642,156,202,0.043137254901960784,0.9568627450980393,0.202,0.156,0.1306772908366534,0.8693227091633466,1255
E4B,0.35,0.75,67.4,67.80000000000001,False,11,202,160,11,8,236,638,160,202,0.043137254901960784,0.9568627450980393,0.202,0.16,0.13386454183266933,0.8661354581673307,1255
E4B,0.35,0.8,67.4,67.80000000000001,False,11,202,160,11,8,236,638,160,202,0.043137254901960784,0.9568627450980393,0.202,0.16,0.13386454183266933,0.8661354581673307,1255
E4B,0.65,0.7,67.4,67.4,False,17,251,2,17,0,238,747,2,251,0.06666666666666667,0.9333333333333333,0.251,0.002,0.0015936254980079682,0.998406374501992,1255
E4B,0.3,0.9,67.80000000000001,68.55000000000001,False,11,176,216,11,15,229,608,216,176,0.043137254901960784,0.9568627450980393,0.176,0.216,0.18406374501992032,0.8159362549800797,1255
E4B,0.25,0.9,67.9,68.65,False,11,176,217,11,15,229,607,217,176,0.043137254901960784,0.9568627450980393,0.176,0.217,0.1848605577689243,0.8151394422310757,1255
E4B,0.55,0.7,67.9,68.05000000000001,False,14,251,37,14,3,238,712,37,251,0.054901960784313725,0.9450980392156862,0.251,0.037,0.03187250996015936,0.9681274900398407,1255
E4B,0.6,0.7,67.9,68.05000000000001,False,14,251,37,14,3,238,712,37,251,0.054901960784313725,0.9450980392156862,0.251,0.037,0.03187250996015936,0.9681274900398407,1255
E4B,0.55,0.65,68.1,68.25,False,14,253,35,14,3,238,712,35,253,0.054901960784313725,0.9450980392156862,0.253,0.035,0.030278884462151396,0.9697211155378486,1255
E4B,0.6,0.65,68.1,68.25,False,14,253,35,14,3,238,712,35,253,0.054901960784313725,0.9450980392156862,0.253,0.035,0.030278884462151396,0.9697211155378486,1255
E4B,0.3,0.85,68.30000000000001,69.05000000000001,False,11,181,211,11,15,229,608,211,181,0.043137254901960784,0.9568627450980393,0.181,0.211,0.1800796812749004,0.8199203187250996,1255
E4B,0.25,0.85,68.4,69.15,False,11,181,212,11,15,229,607,212,181,0.043137254901960784,0.9568627450980393,0.181,0.212,0.18087649402390438,0.8191235059760956,1255
E4B,0.45,0.7,68.5,68.8,False,11,251,73,11,6,238,676,73,251,0.043137254901960784,0.9568627450980393,0.251,0.073,0.06294820717131475,0.9370517928286852,1255
E4B,0.45,0.65,68.7,69.0,False,11,253,71,11,6,238,676,71,253,0.043137254901960784,0.9568627450980393,0.253,0.071,0.06135458167330677,0.9386454183266932,1255
E4B,0.5,0.7,69.0,69.2,False,13,251,58,13,4,238,691,58,251,0.050980392156862744,0.9490196078431372,0.251,0.058,0.04940239043824701,0.950597609561753,1255
E4B,0.5,0.65,69.2,69.4,False,13,253,56,13,4,238,691,56,253,0.050980392156862744,0.9490196078431372,0.253,0.056,0.04780876494023904,0.952191235059761,1255
E4B,0.3,0.75,70.4,70.80000000000001,False,11,202,190,11,8,236,608,190,202,0.043137254901960784,0.9568627450980393,0.202,0.19,0.15776892430278885,0.8422310756972111,1255
E4B,0.3,0.8,70.4,70.80000000000001,False,11,202,190,11,8,236,608,190,202,0.043137254901960784,0.9568627450980393,0.202,0.19,0.15776892430278885,0.8422310756972111,1255
E4B,0.25,0.75,70.5,70.9,False,11,202,191,11,8,236,607,191,202,0.043137254901960784,0.9568627450980393,0.202,0.191,0.15856573705179283,0.8414342629482072,1255
E4B,0.25,0.8,70.5,70.9,False,11,202,191,11,8,236,607,191,202,0.043137254901960784,0.9568627450980393,0.202,0.191,0.15856573705179283,0.8414342629482072,1255
E4B,0.55,0.6,71.6,71.6,False,14,288,0,14,0,241,712,0,288,0.054901960784313725,0.9450980392156862,0.288,0.0,0.0,1.0,1255
E4B,0.4,0.7,71.9,72.2,False,11,251,107,11,6,238,642,107,251,0.043137254901960784,0.9568627450980393,0.251,0.107,0.0900398406374502,0.9099601593625498,1255
E4B,0.4,0.65,72.1,72.39999999999999,False,11,253,105,11,6,238,642,105,253,0.043137254901960784,0.9568627450980393,0.253,0.105,0.08844621513944223,0.9115537848605577,1255
E4B,0.45,0.55,72.19999999999999,72.35,False,11,288,36,11,3,241,676,36,288,0.043137254901960784,0.9568627450980393,0.288,0.036,0.031075697211155377,0.9689243027888447,1255
E4B,0.45,0.6,72.19999999999999,72.35,False,11,288,36,11,3,241,676,36,288,0.043137254901960784,0.9568627450980393,0.288,0.036,0.031075697211155377,0.9689243027888447,1255
E4B,0.35,0.7,72.30000000000001,72.60000000000001,False,11,251,111,11,6,238,638,111,251,0.043137254901960784,0.9568627450980393,0.251,0.111,0.09322709163346614,0.9067729083665339,1255
E4B,0.35,0.65,72.5,72.8,False,11,253,109,11,6,238,638,109,253,0.043137254901960784,0.9568627450980393,0.253,0.109,0.09163346613545817,0.9083665338645418,1255
E4B,0.5,0.55,72.69999999999999,72.74999999999999,False,13,288,21,13,1,241,691,21,288,0.050980392156862744,0.9490196078431372,0.288,0.021,0.01752988047808765,0.9824701195219123,1255
E4B,0.5,0.6,72.69999999999999,72.74999999999999,False,13,288,21,13,1,241,691,21,288,0.050980392156862744,0.9490196078431372,0.288,0.021,0.01752988047808765,0.9824701195219123,1255
E4B,0.2,0.95,73.9,164.375,False,9,103,443,9,47,199,454,443,103,0.03529411764705882,0.9647058823529412,0.103,0.443,0.3904382470119522,0.6095617529880478,1255
E2B,0.05,0.95,74.10000000000001,388.57500000000005,False,7,0,671,7,247,1,329,671,0,0.027450980392156862,0.9725490196078431,0.0,0.671,0.7314741035856573,0.2685258964143426,1255
E4B,0.45,0.5,74.30000000000001,74.4,False,11,309,15,11,2,242,676,15,309,0.043137254901960784,0.9568627450980393,0.309,0.015,0.013545816733067729,0.9864541832669322,1255
E2B,0.05,0.85,74.39999999999999,380.225,False,7,3,668,7,234,14,329,668,3,0.027450980392156862,0.9725490196078431,0.003,0.668,0.7187250996015936,0.28127490039840636,1255
E2B,0.05,0.9,74.39999999999999,380.225,False,7,3,668,7,234,14,329,668,3,0.027450980392156862,0.9725490196078431,0.003,0.668,0.7187250996015936,0.28127490039840636,1255
E2B,0.05,0.45,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E2B,0.05,0.5,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E2B,0.05,0.55,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E2B,0.05,0.6,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E2B,0.05,0.65,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E2B,0.05,0.7,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E2B,0.05,0.75,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E2B,0.05,0.8,74.89999999999999,377.67500000000007,False,7,8,663,7,233,15,329,663,8,0.027450980392156862,0.9725490196078431,0.008,0.663,0.7139442231075698,0.2860557768924303,1255
E4B,0.15,0.95,74.9,170.375,False,9,103,453,9,47,199,444,453,103,0.03529411764705882,0.9647058823529412,0.103,0.453,0.398406374501992,0.601593625498008,1255
E2B,0.05,0.35,75.30000000000001,376.07500000000005,False,7,12,659,7,233,15,329,659,12,0.027450980392156862,0.9725490196078431,0.012,0.659,0.7107569721115538,0.2892430278884462,1255
